epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,1226.18,0.9544,0.48654,1.11824,0.84931,0.84392,0.88392,0.53436,1.50853,0.91739,1.40287,0.000582435,0.000582435,0.000582435
92,1239.69,0.94279,0.49367,1.09828,0.90409,0.81892,0.88271,0.50589,1.58836,0.82943,1.47398,0.000574746,0.000574746,0.000574746
93,1253.09,0.92991,0.48108,1.08423,0.89707,0.84452,0.91304,0.54244,1.51016,0.71964,1.43361,0.00056704,0.00056704,0.00056704
94,1266.49,0.92498,0.45377,1.09529,0.83505,0.90328,0.91169,0.47301,1.67253,0.8051,1.54972,0.000559318,0.000559318,0.000559318
95,1279.79,0.93368,0.47061,1.09457,0.87628,0.8969,0.93114,0.54364,1.4727,0.77839,1.38887,0.000551584,0.000551584,0.000551584
96,1293.09,0.94897,0.46988,1.09918,0.86574,0.8345,0.89432,0.54364,1.47578,0.91163,1.3938,0.000543837,0.000543837,0.000543837
97,1306.36,0.92402,0.44048,1.07118,0.85473,0.83921,0.87447,0.5192,1.61846,0.79077,1.51699,0.000536081,0.000536081,0.000536081
98,1319.65,0.92495,0.4465,1.07314,0.82565,0.88345,0.90709,0.58215,1.35589,0.74191,1.33268,0.000528318,0.000528318,0.000528318
99,1332.93,0.90799,0.46569,1.06968,0.87509,0.86448,0.8982,0.49501,1.58788,0.79243,1.49974,0.000520548,0.000520548,0.000520548
100,1346.23,0.9016,0.48303,1.07825,0.89875,0.84236,0.87935,0.51954,1.45651,0.84149,1.41614,0.000512775,0.000512775,0.000512775
101,1359.52,0.90293,0.4536,1.07804,0.87277,0.86047,0.89162,0.48391,1.60845,0.84632,1.53619,0.000505,0.000505,0.000505
102,1372.88,0.89919,0.44673,1.0715,0.80053,0.69696,0.7412,0.37095,1.73601,1.20754,1.6423,0.000497225,0.000497225,0.000497225
103,1386.18,0.84461,0.4845,1.05285,0.82426,0.81106,0.83658,0.42869,1.58782,0.94581,1.55493,0.000489452,0.000489452,0.000489452
104,1399.5,0.88977,0.47791,1.06778,0.66775,0.798,0.72719,0.42933,1.44338,1.48683,1.41052,0.000481682,0.000481682,0.000481682
105,1412.77,0.83388,0.44975,1.04517,0.74045,0.76993,0.83116,0.5254,1.35711,1.2908,1.3199,0.000473919,0.000473919,0.000473919
106,1426.06,0.84083,0.44359,1.02491,0.74138,0.81284,0.84875,0.49835,1.43821,1.31198,1.41371,0.000466163,0.000466163,0.000466163
107,1439.37,0.80129,0.43034,1.0235,0.82147,0.79593,0.84066,0.54504,1.24334,1.03118,1.24787,0.000458416,0.000458416,0.000458416
108,1452.67,0.79187,0.44334,1.01774,0.87039,0.82441,0.87224,0.56015,1.29029,0.86818,1.27054,0.000450682,0.000450682,0.000450682
109,1465.93,0.802,0.45474,1.02647,0.78683,0.82635,0.86082,0.55773,1.33938,0.98716,1.32114,0.00044296,0.00044296,0.00044296
